date,close,market_cap,volume,sentiment_mean,sentiment_pos,sentiment_neg,close_lag1,close_lag3,close_lag7,ma7,ma14,ma30,std7,std14,ret_1d,ret_7d,target_t1,target_t30
2021-01-30,34150.81876737221,635688668063.594,97468515525.42249,0.0,0.0,0.0,33128.34752861149,32582.10944502123,32957.908782655926,32431.960913405335,33660.151836243276,34648.73388633967,1123.1363766709826,2071.7926402238663,0.030863937233140293,0.036194953769155935,34199.51981036302,44970.163459946736
2021-01-31,34199.51981036302,636624676861.2642,52001249491.10806,0.0,0.0,0.0,34150.81876737221,30445.52586511351,32068.08737440817,32736.45126139888,33513.35231702558,34821.3039335083,1285.2672757895582,1942.593232220159,0.001426057844250872,0.06646584222718044,33064.78676701507,49787.33995949672
2021-02-01,33064.78676701507,615013848827.3505,42488649643.23183,0.0,0.0,0.0,34199.51981036302,33128.34752861149,32273.51735032927,32849.48974949685,33317.67537997846,34945.0592660105,1272.499136933747,1828.7148240872584,-0.033179794618171776,0.024517607055238644,33405.99035714327,48532.23678981703
2021-02-02,33405.99035714327,621908231690.1377,49268860242.66622,0.0,0.0,0.0,33064.78676701507,34150.81876737221,32375.320062981456,32996.72836294854,33089.85577911136,34986.464780070775,1268.1105295310606,1569.2194107723653,0.010319243627137986,0.031835061156362254,35485.98593382442,50577.45746915202
2021-02-03,35485.98593382442,660664104637.4851,50730704376.60918,0.0,0.0,0.0,33405.99035714327,34199.51981036302,32582.10944502123,33411.567861349,33045.650213116314,35069.05677108195,1552.8724798296103,1484.1639040734951,0.062264149466725094,0.08912487675800018,37494.71762460426,48727.45120080115
2021-02-04,37494.71762460426,695794870715.5251,49762137494.206696,0.0,0.0,0.0,35485.98593382442,33064.78676701507,30445.52586511351,34418.595255561966,33181.88081467836,35268.36149301347,1593.9706860826332,1791.198243797856,0.056606337344713875,0.23153457065322613,36816.50808203406,49091.81488232977
2021-02-05,36816.50808203406,686453802173.3838,54494811707.23047,0.0,0.0,0.0,37494.71762460426,33405.99035714327,33128.34752861149,34945.47533462233,33603.51026796267,35359.50489411314,1702.277087268129,1907.195629734793,-0.018088135757159396,0.11132944528057931,38007.83222908396,49019.36859236582
2021-02-06,38007.83222908396,706320162928.6615,47446256481.71452,0.0,0.0,0.0,36816.50808203406,35485.98593382442,34150.81876737221,35496.47725772401,33964.21908556467,35395.315297172296,2000.3254962371784,2226.515662766454,0.03235842313984283,0.11294058534832985,39279.41286897885,51313.09262027362
2021-02-07,39279.41286897885,732453192636.7231,57076868562.48764,0.0,0.0,0.0,38007.83222908396,37494.71762460426,34199.51981036302,36222.176266097704,34479.313763748294,35386.3929234264,2343.424929767401,2562.860332029344,0.033455752809860684,0.14853697030788537,38833.34026455532,52328.5359126325
2021-02-08,38833.34026455532,723434796637.7434,53802559038.8092,0.0,0.0,0.0,39279.41286897885,36816.50808203406,33064.78676701507,37046.25533717487,34947.87254333586,35320.3055370855,2043.0845625729785,2723.199989727036,-0.01135639694797519,0.17446214119532355,46307.57412159395,54700.27343927744
